Year,18-44 percentage,45-64 percentage,65-74 percentage,75+ percentage
2000,1.9,8.3,15.8,13.2
2001,2.0,9.3,16.7,13.6
2002,1.9,9.3,17.0,14.8
2003,1.9,9.1,17.6,15.5
2004,2.0,9.9,18.5,16.0
2005,2.4,10.5,18.6,15.3
2006,2.7,10.5,18.2,17.9
2007,2.2,10.6,20.0,17.3
2008,2.3,11.9,19.8,16.9
2009,2.9,12.5,19.9,18.9
2010,2.7,12.1,21.4,21.3
2011,2.4,12.0,22.2,18.7
2012,2.4,12.5,20.5,19.4
2013,2.7,12.3,21.0,20.9
2014,2.4,12.0,21.5,19.2
2015,2.2,12.8,22.1,21.2
2016,2.8,12.1,22.0,18.6
2017,2.7,12.7,19.1,19.0
2018,3.3,12.4,21.4,21.8
2019,2.4,12.2,19.5,20.7
2020,2.4,11.3,20.6,21.0
2021,2.3,13.3,19.7,18.8
2022,2.4,12.5,19.5,20.6
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.,,,,
